CUSTOMER_ID,RECENCY_BEFORE_FEB-01-2011,RESPONSE_TO_TEST_MAILING_FEB-01-2011,PREDICTED CATEGORY,CONFIDENCE FOR PREDICTION
5835,"high","","T",0.625
5851,"high","","T",0.625
6031,"high","","T",0.625
6204,"high","","T",0.625
6245,"high","","T",0.625
6340,"high","","T",0.625
6424,"high","","T",0.625
6451,"high","","T",0.625
6460,"high","","T",0.625
6501,"high","","T",0.625
6516,"high","","T",0.625
6525,"high","","T",0.625
6657,"high","","T",0.625
6659,"high","","T",0.625
6766,"high","","T",0.625
6877,"high","","T",0.625
6904,"high","","T",0.625
7162,"high","","T",0.625
7449,"high","","T",0.625
7510,"high","","T",0.625
7516,"high","","T",0.625
7524,"high","","T",0.625
7550,"high","","T",0.625
7555,"high","","T",0.625
7576,"high","","T",0.625
7640,"high","","T",0.625
7694,"high","","T",0.625
7810,"high","","T",0.625
7977,"high","","T",0.625
8002,"high","","T",0.625
8017,"high","","T",0.625
8149,"high","","T",0.625
8160,"high","","T",0.625
8322,"high","","T",0.625
8356,"high","","T",0.625
8376,"high","","T",0.625
8429,"high","","T",0.625
8500,"high","","T",0.625
8515,"high","","T",0.625
8557,"high","","T",0.625
8589,"high","","T",0.625
8789,"high","","T",0.625
8790,"high","","T",0.625
8800,"high","","T",0.625
8825,"high","","T",0.625
8861,"high","","T",0.625
8979,"high","","T",0.625
9015,"high","","T",0.625
9285,"high","","T",0.625
9314,"high","","T",0.625
9524,"high","","T",0.625
9644,"high","","T",0.625
9705,"high","","T",0.625
9806,"high","","T",0.625
9832,"high","","T",0.625
9906,"high","","T",0.625
9944,"high","","T",0.625
9965,"high","","T",0.625
10022,"high","","T",0.625
10081,"high","","T",0.625
10122,"high","","T",0.625
10267,"high","","T",0.625
10312,"high","","T",0.625
10389,"high","","T",0.625
10452,"high","","T",0.625
10474,"high","","T",0.625
10579,"high","","T",0.625
10882,"high","","T",0.625
10904,"high","","T",0.625
10965,"high","","T",0.625
11106,"high","","T",0.625
11169,"high","","T",0.625
11202,"high","","T",0.625
11232,"high","","T",0.625
11265,"high","","T",0.625
11330,"high","","T",0.625
11354,"high","","T",0.625
11372,"high","","T",0.625
11456,"high","","T",0.625
11631,"high","","T",0.625
11807,"high","","T",0.625
12016,"high","","T",0.625
12200,"high","","T",0.625
12306,"high","","T",0.625
12384,"high","","T",0.625
12386,"high","","T",0.625
12396,"high","","T",0.625
12500,"high","","T",0.625
12536,"high","","T",0.625
12671,"high","","T",0.625
12762,"high","","T",0.625
12822,"high","","T",0.625
12880,"high","","T",0.625
12939,"high","","T",0.625
12969,"high","","T",0.625
12975,"high","","T",0.625
13147,"high","","T",0.625
13179,"high","","T",0.625
13181,"high","","T",0.625
13469,"high","","T",0.625
13497,"high","","T",0.625
13572,"high","","T",0.625
13616,"high","","T",0.625
13681,"high","","T",0.625
13866,"high","","T",0.625
13911,"high","","T",0.625
14045,"high","","T",0.625
14160,"high","","T",0.625
14244,"high","","T",0.625
14289,"high","","T",0.625
14330,"high","","T",0.625
14340,"high","","T",0.625
14549,"high","","T",0.625
14580,"high","","T",0.625
14611,"high","","T",0.625
14654,"high","","T",0.625
14984,"high","","T",0.625
14999,"high","","T",0.625
15284,"high","","T",0.625
15296,"high","","T",0.625
15372,"high","","T",0.625
15391,"high","","T",0.625
15461,"high","","T",0.625
15526,"high","","T",0.625
15644,"high","","T",0.625
15664,"high","","T",0.625
15734,"high","","T",0.625
15770,"high","","T",0.625
15890,"high","","T",0.625
16034,"high","","T",0.625
16119,"high","","T",0.625
16126,"high","","T",0.625
16136,"high","","T",0.625
16144,"high","","T",0.625
16159,"high","","T",0.625
16250,"high","","T",0.625
16256,"high","","T",0.625
16369,"high","","T",0.625
16977,"high","","T",0.625
17024,"high","","T",0.625
17069,"high","","T",0.625
17090,"high","","T",0.625
17132,"high","","T",0.625
17286,"high","","T",0.625
17406,"high","","T",0.625
17480,"high","","T",0.625
17524,"high","","T",0.625
17939,"high","","T",0.625
17945,"high","","T",0.625
18147,"high","","T",0.625
18184,"high","","T",0.625
18270,"high","","T",0.625
18329,"high","","T",0.625
18619,"high","","T",0.625
18700,"high","","T",0.625
19050,"high","","T",0.625
19265,"high","","T",0.625
19406,"high","","T",0.625
19695,"high","","T",0.625
19726,"high","","T",0.625
19745,"high","","T",0.625
19915,"high","","T",0.625
20017,"high","","T",0.625
20054,"high","","T",0.625
20112,"high","","T",0.625
20175,"high","","T",0.625
20280,"high","","T",0.625
20634,"high","","T",0.625
20679,"high","","T",0.625
20757,"high","","T",0.625
20764,"high","","T",0.625
20801,"high","","T",0.625
21510,"high","","T",0.625
21515,"high","","T",0.625
21685,"high","","T",0.625
21741,"high","","T",0.625
21742,"high","","T",0.625
21865,"high","","T",0.625
22132,"high","","T",0.625
22372,"high","","T",0.625
22421,"high","","T",0.625
22426,"high","","T",0.625
22511,"high","","T",0.625
22525,"high","","T",0.625
22706,"high","","T",0.625
22799,"high","","T",0.625
22811,"high","","T",0.625
23084,"high","","T",0.625
23151,"high","","T",0.625
23502,"high","","T",0.625
23734,"high","","T",0.625
23909,"high","","T",0.625
24129,"high","","T",0.625
24266,"high","","T",0.625
24301,"high","","T",0.625
24324,"high","","T",0.625
24371,"high","","T",0.625
24516,"high","","T",0.625
24741,"high","","T",0.625
25016,"high","","T",0.625
25026,"high","","T",0.625
25126,"high","","T",0.625
25170,"high","","T",0.625
25199,"high","","T",0.625
25324,"high","","T",0.625
25547,"high","","T",0.625
25631,"high","","T",0.625
25687,"high","","T",0.625
25842,"high","","T",0.625
25864,"high","","T",0.625
25942,"high","","T",0.625
26184,"high","","T",0.625
26405,"high","","T",0.625
26617,"high","","T",0.625
26686,"high","","T",0.625
26714,"high","","T",0.625
26867,"high","","T",0.625
26881,"high","","T",0.625
26882,"high","","T",0.625
26926,"high","","T",0.625
26961,"high","","T",0.625
26981,"high","","T",0.625
27042,"high","","T",0.625
27094,"high","","T",0.625
27200,"high","","T",0.625
27284,"high","","T",0.625
27350,"high","","T",0.625
27421,"high","","T",0.625
27517,"high","","T",0.625
27676,"high","","T",0.625
27924,"high","","T",0.625
27984,"high","","T",0.625
27991,"high","","T",0.625
28014,"high","","T",0.625
28059,"high","","T",0.625
28127,"high","","T",0.625
28136,"high","","T",0.625
28159,"high","","T",0.625
28285,"high","","T",0.625
28336,"high","","T",0.625
28659,"high","","T",0.625
28662,"high","","T",0.625
28734,"high","","T",0.625
28744,"high","","T",0.625
28955,"high","","T",0.625
29242,"high","","T",0.625
29329,"high","","T",0.625
29355,"high","","T",0.625
29481,"high","","T",0.625
29972,"high","","T",0.625
29976,"high","","T",0.625
30079,"high","","T",0.625
30331,"high","","T",0.625
30470,"high","","T",0.625
